distribution,datatype,n_components,mutual_information
GaussianMixture,pca_1,3,0.38262162855114784
KMeans,raw,5,0.3824336986248608
multinormal,pca_9,6,0.3821219239405571
GaussianMixture,pca_9,3,0.3816245690624697
GaussianMixture,pca_8,3,0.38155877165523616
GaussianMixture,pca_1,5,0.3794168307385868
GaussianMixture,pca_11,2,0.3781485757438298
KMeans,raw,4,0.37405284792343585
multinormal,pca_10,6,0.3732473495240209
GaussianMixture,pca_7,5,0.37028503683541947
GaussianMixture,pca_7,6,0.36866036508334077
GaussianMixture,pca_8,4,0.36440683414233593
GaussianMixture,pca_9,4,0.3550491708911657
GaussianMixture,pca_10,3,0.3522553041447399
multinormal,raw,4,0.3453906485810055
GaussianMixture,raw,2,0.34298927149258546
multinormal,scaled,5,0.3421670705934243
GaussianMixture,scaled,2,0.3336613390820539
GaussianMixture,pca_8,5,0.331095208488714
GaussianMixture,pca_11,3,0.3286876139858875
GaussianMixture,pca_8,6,0.3239832289636535
multinormal,pca_11,6,0.3219809048775617
GaussianMixture,pca_9,5,0.3102600263368182
GaussianMixture,pca_10,4,0.3076466159527842
GaussianMixture,pca_10,5,0.3032566173412071
GaussianMixture,pca_9,6,0.29977221428166534
GaussianMixture,pca_1,2,0.29249301251808235
GaussianMixture,pca_11,4,0.2888466033355677
GaussianMixture,raw,3,0.28857490068010594
multinormal,raw,5,0.271832880801393
GaussianMixture,scaled,3,0.2683369512735904
GaussianMixture,pca_10,6,0.261697688539366
GaussianMixture,pca_11,5,0.25605657246449043
GaussianMixture,pca_11,6,0.2468962261928577
GaussianMixture,raw,4,0.23847635124158623
GaussianMixture,scaled,5,0.22378867580653466
GaussianMixture,scaled,4,0.22090413525792887
multinormal,scaled,6,0.20601172365853052
GaussianMixture,raw,5,0.19955191600692704
GaussianMixture,raw,6,0.1920110366892812
GaussianMixture,scaled,6,0.16413988443779967
multinormal,raw,6,0.1614471621377001
multinormal,pca_4,1,0.0
lognormal,scaled,6,0.0
multinormal,pca_9,1,0.0
normal,pca_8,1,0.0
multinormal,raw,1,0.0
multinormal,pca_1,1,0.0
lognormal,scaled,4,0.0
lognormal,scaled,5,0.0
multinormal,pca_8,1,0.0
lognormal,scaled,3,0.0
lognormal,scaled,2,0.0
lognormal,scaled,1,0.0
multinormal,scaled,1,0.0
normal,pca_10,1,0.0
normal,pca_11,1,0.0
normal,pca_2,1,0.0
multinormal,pca_10,1,0.0
normal,raw,1,0.0
normal,pca_6,1,0.0
multinormal,pca_7,1,0.0
normal,pca_3,1,0.0
multinormal,pca_11,1,0.0
multinormal,pca_6,1,0.0
normal,pca_4,1,0.0
normal,pca_9,1,0.0
normal,scaled,1,0.0
multinormal,pca_2,1,0.0
normal,pca_7,1,0.0
multinormal,pca_5,1,0.0
normal,pca_5,1,0.0
multinormal,pca_3,1,0.0
normal,pca_1,1,0.0
GaussianMixture,pca_1,1,0.0
lognormal,raw,1,0.0
gamma,pca_4,5,0.0
gamma,pca_4,3,0.0
gamma,pca_4,2,0.0
gamma,pca_4,1,0.0
gamma,pca_3,6,0.0
gamma,pca_3,5,0.0
gamma,pca_3,4,0.0
gamma,pca_3,3,0.0
gamma,pca_3,2,0.0
gamma,pca_3,1,0.0
gamma,pca_2,6,0.0
gamma,pca_2,5,0.0
gamma,pca_2,4,0.0
gamma,pca_2,3,0.0
gamma,pca_2,2,0.0
gamma,pca_2,1,0.0
gamma,pca_11,6,0.0
gamma,pca_11,5,0.0
gamma,pca_4,4,0.0
gamma,pca_4,6,0.0
gamma,pca_8,2,0.0
gamma,pca_5,1,0.0
gamma,pca_7,6,0.0
gamma,pca_7,5,0.0
gamma,pca_7,4,0.0
gamma,pca_7,3,0.0
gamma,pca_7,2,0.0
gamma,pca_7,1,0.0
gamma,pca_6,6,0.0
gamma,pca_6,5,0.0
gamma,pca_6,4,0.0
gamma,pca_6,3,0.0
gamma,pca_6,2,0.0
gamma,pca_6,1,0.0
gamma,pca_5,6,0.0
gamma,pca_5,5,0.0
gamma,pca_5,4,0.0
gamma,pca_5,3,0.0
gamma,pca_5,2,0.0
gamma,pca_11,4,0.0
gamma,pca_11,3,0.0
gamma,pca_11,2,0.0
gamma,pca_11,1,0.0
KMeans,pca_3,1,0.0
KMeans,pca_2,1,0.0
KMeans,pca_11,1,0.0
KMeans,pca_10,1,0.0
KMeans,pca_1,1,0.0
GaussianMixture,scaled,1,0.0
GaussianMixture,raw,1,0.0
GaussianMixture,pca_9,1,0.0
GaussianMixture,pca_8,1,0.0
GaussianMixture,pca_7,1,0.0
GaussianMixture,pca_6,1,0.0
GaussianMixture,pca_5,1,0.0
GaussianMixture,pca_4,1,0.0
GaussianMixture,pca_3,1,0.0
GaussianMixture,pca_2,1,0.0
GaussianMixture,pca_11,1,0.0
GaussianMixture,pca_10,1,0.0
KMeans,pca_4,1,0.0
KMeans,pca_5,1,0.0
KMeans,pca_6,1,0.0
gamma,pca_1,5,0.0
gamma,pca_10,6,0.0
gamma,pca_10,5,0.0
gamma,pca_10,4,0.0
gamma,pca_10,3,0.0
gamma,pca_10,2,0.0
gamma,pca_10,1,0.0
gamma,pca_1,6,0.0
gamma,pca_1,4,0.0
KMeans,pca_7,1,0.0
gamma,pca_1,3,0.0
gamma,pca_1,2,0.0
gamma,pca_1,1,0.0
KMeans,scaled,1,0.0
KMeans,raw,1,0.0
KMeans,pca_9,1,0.0
KMeans,pca_8,1,0.0
gamma,pca_8,1,0.0
gamma,pca_8,3,0.0
lognormal,pca_9,6,0.0
lognormal,pca_6,4,0.0
lognormal,pca_6,2,0.0
lognormal,pca_6,1,0.0
lognormal,pca_5,6,0.0
lognormal,pca_5,5,0.0
lognormal,pca_5,4,0.0
lognormal,pca_5,3,0.0
lognormal,pca_5,2,0.0
lognormal,pca_5,1,0.0
lognormal,pca_4,6,0.0
lognormal,pca_4,5,0.0
lognormal,pca_4,4,0.0
lognormal,pca_4,3,0.0
lognormal,pca_4,2,0.0
lognormal,pca_4,1,0.0
lognormal,pca_3,6,0.0
lognormal,pca_3,5,0.0
lognormal,pca_3,4,0.0
lognormal,pca_6,3,0.0
lognormal,pca_6,5,0.0
gamma,pca_8,4,0.0
lognormal,pca_6,6,0.0
lognormal,pca_9,5,0.0
lognormal,pca_9,4,0.0
lognormal,pca_9,3,0.0
lognormal,pca_9,2,0.0
lognormal,pca_9,1,0.0
lognormal,pca_8,6,0.0
lognormal,pca_8,5,0.0
lognormal,pca_8,4,0.0
lognormal,pca_8,3,0.0
lognormal,pca_8,2,0.0
lognormal,pca_8,1,0.0
lognormal,pca_7,6,0.0
lognormal,pca_7,5,0.0
lognormal,pca_7,4,0.0
lognormal,pca_7,3,0.0
lognormal,pca_7,2,0.0
lognormal,pca_7,1,0.0
lognormal,pca_3,3,0.0
lognormal,pca_3,2,0.0
lognormal,pca_3,1,0.0
lognormal,pca_2,6,0.0
lognormal,pca_1,3,0.0
lognormal,pca_1,2,0.0
gamma,scaled,6,0.0
gamma,scaled,5,0.0
gamma,scaled,4,0.0
gamma,scaled,3,0.0
gamma,scaled,2,0.0
gamma,scaled,1,0.0
gamma,raw,1,0.0
gamma,pca_9,6,0.0
gamma,pca_9,5,0.0
gamma,pca_9,4,0.0
gamma,pca_9,3,0.0
gamma,pca_9,2,0.0
gamma,pca_9,1,0.0
gamma,pca_8,6,0.0
gamma,pca_8,5,0.0
lognormal,pca_1,4,0.0
lognormal,pca_1,5,0.0
lognormal,pca_1,6,0.0
lognormal,pca_11,4,0.0
lognormal,pca_2,5,0.0
lognormal,pca_2,4,0.0
lognormal,pca_2,3,0.0
lognormal,pca_2,2,0.0
lognormal,pca_2,1,0.0
lognormal,pca_11,6,0.0
lognormal,pca_11,5,0.0
lognormal,pca_11,3,0.0
lognormal,pca_10,1,0.0
lognormal,pca_11,2,0.0
lognormal,pca_11,1,0.0
lognormal,pca_10,6,0.0
lognormal,pca_10,5,0.0
lognormal,pca_10,4,0.0
lognormal,pca_10,3,0.0
lognormal,pca_10,2,0.0
lognormal,pca_1,1,0.0
